FROM_REACTION_ID	TYPE	TO_REACTION_ID
21554	is_a	52106
21555	is_a	52107
21556	is_a	51736
21557	is_a	51737
21558	is_a	51738
21559	is_a	51739
21652	is_a	53736
21653	is_a	53737
21654	is_a	53738
21655	is_a	53739
21660	is_a	11888
21661	is_a	11889
21662	is_a	11890
21663	is_a	11891
21680	is_a	16789
21681	is_a	16790
21682	is_a	16791
21683	is_a	16792
21696	is_a	54196
21697	is_a	54197
21698	is_a	54198
21699	is_a	54199
21788	is_a	61948
21789	is_a	61949
21790	is_a	61950
21791	is_a	61951
21828	is_a	21068
21829	is_a	21069
21830	is_a	21070
21831	is_a	21071
21840	is_a	54200
21841	is_a	54201
21842	is_a	54202
21843	is_a	54203
21872	is_a	48100
21873	is_a	48101
21874	is_a	48102
21875	is_a	48103
21952	is_a	54384
21953	is_a	54385
21954	is_a	54386
21955	is_a	54387
21992	is_a	45948
21993	is_a	45949
21994	is_a	45950
21995	is_a	45951
22000	is_a	36587
22001	is_a	36588
22002	is_a	36589
22003	is_a	36590
22004	is_a	17989
22005	is_a	17990
22006	is_a	17991
22007	is_a	17992
22040	is_a	10872
22041	is_a	10873
22042	is_a	10874
22043	is_a	10875
22056	is_a	10736
22057	is_a	10737
22058	is_a	10738
22059	is_a	10739
22156	is_a	36799
22157	is_a	36800
22158	is_a	36801
22159	is_a	36802
22164	is_a	56568
22165	is_a	56569
22166	is_a	56570
22167	is_a	56571
22252	is_a	56576
22253	is_a	56577
22254	is_a	56578
22255	is_a	56579
22400	is_a	10740
22400	is_a	34779
22401	is_a	10741
22401	is_a	34780
22402	is_a	10742
22402	is_a	34781
22403	is_a	10743
22403	is_a	34782
22424	is_a	18121
22425	is_a	18122
22426	is_a	18123
22427	is_a	18124
22460	is_a	48608
22461	is_a	48609
22462	is_a	48610
22463	is_a	48611
22520	is_a	56736
22521	is_a	56737
22522	is_a	56738
22523	is_a	56739
22548	is_a	16153
22549	is_a	16154
22550	is_a	16155
22551	is_a	16156
22636	is_a	44644
22637	is_a	44645
22638	is_a	44646
22639	is_a	44647
22688	is_a	21816
22689	is_a	21817
22690	is_a	21818
22691	is_a	21819
22780	is_a	48848
22781	is_a	48849
22782	is_a	48850
22783	is_a	48851
22864	is_a	18317
22865	is_a	18318
